Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Graduate Ceramics,91264,ART,530,2,Graduate ,3,,2:00 pm - 5:00 pm,MW,Hewitt Union 1B,Fall2019,Lecture,Renqian   Yang,30
Graduate Ceramics,94567,ART,530,3,Graduate ,3,,9:10 am - 12:25 pm,MW,Hewitt Union 1B,Fall2019,Studio,Renqian   Yang,30
Graduate Photography,91302,ART,540,4,Graduate ,3,,2:00 pm - 5:00 pm,MW,Tyler Hall 216,Fall2019,Studio,Julieve   Jubin,30
GR Photography: Beginning,93579,ART,540,5,Graduate ,3,,9:35 am - 12:30 pm,TR,Tyler Hall 216,Fall2019,Studio,Julieve   Jubin,30
GP:Black & White Darkroom,94150,ART,540,6,Graduate ,3,,2:20 pm - 5:15 pm,TR,Tyler Hall 219,Fall2019,Lecture,Peter   Cardone,30
20th Century Art,91795,ART,553,7,Graduate ,3,,12:40 pm - 1:35 pm,MWF,Tyler Hall 209,Fall2019,Lecture,Lisa A  Seppi,30
Grad History Graphic Design,91805,ART,565,1,Graduate ,3,,12:45 pm - 2:05 pm,TR,Lanigan Hall 107,Fall2019,Lecture,Cynthia A  Clabough,30
Research Problems in Art Histo,91663,ART,571,2,Graduate ,3,,10:20 am - 11:15 am,MWF,Tyler Hall 209,Fall2019,Lecture,Lisa A  Seppi,30
RPAH:Islamic Art,91660,ART,571,3,Graduate ,3,,5:20 pm - 6:45 pm,MW,Mahar Hall 102,Fall2019,Lecture,Lisa K  Langlois,30
RPAH: Gender and the Visual Ar,94180,ART,571,4,Graduate ,3,,12:45 pm - 2:05 pm,TR,Mahar Hall 214,Fall2019,Lecture,Lisa K  Langlois,30
Graduate Art Theory & Practice,90628,ART,572,5,Graduate ,3,,2:00 pm - 5:00 pm,F,Tyler Hall 228,Fall2019,Activity,Kelly L  Roe,30
Graduate Art Theory & Practice,94568,ART,572,6,Graduate ,3,,TBA,TBA,To Be Announced ,Fall2019,Activity,Cynthia A  Clabough,30
Graduate Art Theory & Practice,94569,ART,572,7,Graduate ,3,,TBA,TBA,To Be Announced ,Fall2019,Activity,Rebecca Wendy  Mushtare,30
Graduate Art Theory & Practice,94851,ART,572,1,Graduate ,3,,TBA,TBA,TBA,Fall2019,Lecture,Juan   Perdiguero,30
American Sign Language I,90288,ASL,101,2,Undergraduate ,3,,5:00 pm - 6:20 pm,TR,Marano Campus Center 208,Fall2019,Lecture,Laura   Latray-Corey,30
Astronomy,90412,AST,100,3,Undergraduate ,3,,8:00 am - 8:55 am,MWF,Shineman Center 183,Fall2019,Lecture,Shashi M  Kanbur,30
Astronomy,90413,AST,100,4,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Shineman Center 122,Fall2019,Lecture,Scott   Roby,30
Astronomy,90414,AST,100,5,Undergraduate ,3,,8:00 am - 9:20 am,TR,Sheldon Hall 328,Fall2019,Lecture,Kenneth Eric  Mauser,30
Astronomy,90415,AST,100,6,Undergraduate ,3,,9:35 am - 10:55 am,TR,Sheldon Hall 328,Fall2019,Lecture,Kenneth Eric  Mauser,30
Astronomy,92978,AST,100,7,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Rice Creek 121,Fall2019,Lecture,John   Zielinski,30
Astronomy,92979,AST,100,1,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Shineman Center 172,Fall2019,Lecture,John   Zielinski,30
Astronomy,94683,AST,100,2,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Shineman Center 196,Fall2019,Lecture,Scott   Roby,30
Intro to Health Info Systems,93702,BHI,501,3,Graduate ,3,,6:00 pm - 9:00 pm,W,Sonata 201,Fall2019,Lecture,Kevin Edward  Kurzinski,30
Intro to Health Info Systems,92175,BHI,501,4,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Fall2019,Lecture,Kevin Edward  Kurzinski,30
Health Informatics Methods,93704,BHI,502,5,Graduate ,3,,6:00 pm - 9:00 pm,M,Sonata 202,Fall2019,Lecture,Isabelle   Bichindaritz,30
Health Informatics Methods,92176,BHI,502,6,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Fall2019,Lecture,Isabelle   Bichindaritz,30
eHealth Systems,93706,BHI,503,7,Graduate ,3,,6:00 pm - 9:00 pm,R,Sonata 303,Fall2019,Lecture,Boseon   Byeon,30
eHealth Systems,92177,BHI,503,1,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Fall2019,Lecture,Boseon   Byeon,30
Digital Health,93707,BHI,505,2,Graduate ,3,,6:00 pm - 9:00 pm,T,Sonata TBD,Fall2019,Lecture,Boseon   Byeon,30
Digital Health,93708,BHI,505,3,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Fall2019,Lecture,Boseon   Byeon,30
Database Applications,92181,BHI,508,4,Graduate ,3,,9:35 am - 10:55 am,TR,Shineman Center 448,Fall2019,Lecture,Ioana   Coman,30
Database Applications,91914,BHI,508,5,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Fall2019,Lecture,Ioana   Coman,30
Geospatial/Temporal/NetworkDat,94079,BHI,510,6,Graduate ,3,,6:00 pm - 9:00 pm,W,Sonata TBD,Fall2019,Lecture,Isabelle   Bichindaritz,30
Geospatial/Temporal/NetworkDat,94080,BHI,510,7,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Fall2019,Lecture,Isabelle   Bichindaritz,30
Graduate Internship in BHI,93703,BHI,698,1,Graduate ,3,,TBA,TBA,Off Campus ,Fall2019,Internship,Isabelle   Bichindaritz,30
Graduate Internship in BHI,93709,BHI,698,2,Graduate ,3,,TBA,TBA,Off Campus ,Fall2019,Internship,Boseon   Byeon,30
Project in BHI,92882,BHI,699,3,Graduate ,3,,TBA,TBA,TBA,Fall2019,Activity,Isabelle   Bichindaritz,30
Project in BHI,93201,BHI,699,4,Graduate ,3,,TBA,TBA,TBA,Fall2019,Activity,Boseon   Byeon,30
Thesis in BHI,92883,BHI,700,5,Graduate ,3,,TBA,TBA,TBA,Fall2019,Activity,Isabelle   Bichindaritz,30
Thesis in BHI,93202,BHI,700,6,Graduate ,3,,TBA,TBA,TBA,Fall2019,Activity,Isabelle   Bichindaritz,30
General Biology,90366,BIO,101,7,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Shineman Center 183,Fall2019,Lecture,Michael J  McDonald,30
General Biology Lab,90963,BIO,101,1,Undergraduate ,3,,1:50 pm - 3:50 pm,F,Shineman Center 204,Fall2019,Laboratory,Michael J  McDonald,30
Biology Seminar,90880,BIO,110,2,Undergraduate ,3,,9:35 am - 10:55 am,R,Shineman Center 196,Fall2019,Seminar,James A  MacKenzie,30
Biology Seminar,90728,BIO,110,3,Undergraduate ,3,,10:20 am - 11:15 am,F,Shineman Center 196,Fall2019,Seminar,Maria   Sagot,30
