Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Intro. to Geography,90214,GEG,100,1,Undergraduate ,3,,6:15 pm - 9:00 pm,R,Mahar Hall 220,"Aug 27, 2018 - Dec 07, 2018",Lecture,Amy   D'Angelo,30
Physical Geology,91750,GEO,100,2,Undergraduate ,3,,1:50 pm - 2:45 pm,MWF,Shineman Center 175,"Aug 27, 2018 - Dec 07, 2018",Lecture,Rachel   Lee,30
Physical Geology,91976,GEO,100,3,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Shineman Center 170,"Aug 27, 2018 - Dec 07, 2018",Lecture,Nicholas J  DiFrancesco,30
Physical Geology,94094,GEO,100,4,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Shineman Center 174,"Aug 27, 2018 - Dec 07, 2018",Lecture,Rachel   Lee,30
Physical Geology Laboratory,91033,GEO,101,5,Undergraduate ,3,,2:20 pm - 5:15 pm,R,Shineman Center 372,"Aug 27, 2018 - Dec 07, 2018",Laboratory,Richard   Frieman,30
Physical Geology Laboratory,91400,GEO,101,6,Undergraduate ,3,,9:35 am - 12:30 pm,R,Shineman Center 372,"Aug 27, 2018 - Dec 07, 2018",Laboratory,Paul B  Tomascak,30
Environmental Sustainability,90998,GEO,115,7,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Shineman Center 122,"Aug 27, 2018 - Dec 07, 2018",Lecture,Justin   Stroup,30
Mineralogy,90416,GEO,310,1,Undergraduate ,3,,1:50 pm - 2:45 pm,MWF,Shineman Center 370,"Aug 27, 2018 - Dec 07, 2018",Lecture,Nicholas J  DiFrancesco,30
Mineralogy Lab,90966,GEO,310,2,Undergraduate ,3,,2:20 pm - 5:20 pm,R,Shineman Center 370,"Aug 27, 2018 - Dec 07, 2018",Laboratory,Nicholas J  DiFrancesco,30
Mineralogy Lab,93188,GEO,310,3,Undergraduate ,3,,9:35 am - 12:15 pm,T,Shineman Center 370,"Aug 27, 2018 - Dec 07, 2018",Laboratory,Nicholas J  DiFrancesco,30
Structural Geology,91977,GEO,330,4,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Shineman Center 372,"Aug 27, 2018 - Dec 07, 2018",Lecture,David   Valentino,30
Structural Geology Lab,91978,GEO,330,5,Undergraduate ,3,,9:35 am - 12:30 pm,T,Shineman Center 372,"Aug 27, 2018 - Dec 07, 2018",Laboratory,David   Valentino,30
Geophysics,94120,GEO,340,6,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Shineman Center 370,"Aug 27, 2018 - Dec 07, 2018",Lecture,David   Valentino,30
Intro to Remote Sensing,94097,GEO,350,7,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Shineman Center 372,"Aug 27, 2018 - Dec 07, 2018",Lecture,Rachel   Lee,30
Intro to Remote Sensing Lab,94100,GEO,350,1,Undergraduate ,3,,9:35 am - 12:30 pm,R,Shineman Center 377,"Aug 27, 2018 - Dec 07, 2018",Laboratory,Rachel   Lee,30
STG:Geoscience Research,93682,GEO,390,2,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Shineman Center 377,"Aug 27, 2018 - Dec 07, 2018",Lecture,David   Valentino,30
STG: Geomorphology Lab,94119,GEO,390,3,Undergraduate ,3,,2:20 pm - 5:15 pm,T,Shineman Center 372,"Aug 27, 2018 - Dec 07, 2018",Laboratory,Justin   Stroup,30
Stratigraphy,90832,GEO,420,4,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Shineman Center 370,"Aug 27, 2018 - Dec 07, 2018",Lecture,Richard   Frieman,30
Stratigraphy Lab,90967,GEO,420,5,Undergraduate ,3,,2:20 pm - 5:20 pm,T,Shineman Center 370,"Aug 27, 2018 - Dec 07, 2018",Laboratory,Richard   Frieman,30
Elementary German,90292,GER,101,6,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Marano Campus Center 242,"Aug 27, 2018 - Dec 07, 2018",Lecture,Patrick   Schultz,30
Elementary German,93543,GER,101,7,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Marano Campus Center 242,"Aug 27, 2018 - Dec 07, 2018",Lecture,Patrick   Schultz,30
Continuing Elementary German,90294,GER,102,1,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Marano Campus Center 256,"Aug 27, 2018 - Dec 07, 2018",Lecture,Ana   Djukic-Cocks,30
GER Conversation Through Film,94063,GER,200,2,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Marano Campus Center 256,"Aug 27, 2018 - Dec 07, 2018",Recitation or Discussion,Ana   Djukic-Cocks,30
