Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Internship: School Counseling,91720,CPS,618,1,Graduate ,3,,5:30 pm - 8:30 pm,R,Mahar Hall 104,Summer2017,Internship,Sean   Finnerty,30
Internship: School Counseling,91721,CPS,618,2,Graduate ,3,,5:30 pm - 8:30 pm,R,Mahar Hall 104,Summer2017,Internship,Sean   Finnerty,30
Principles Of Accounting II,20133,ACC,202,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2017,Distance Learning,Susan   Wright,30
West Hert I-Survy Art I,20134,ART,250,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2017,Distance Learning,Benjamin R  Entner,30
Biomedical/Health Terminology,20380,BHI,552,5,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2017,Distance Learning,Isabelle   Bichindaritz,30
Human Biology,20135,BIO,203,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2017,Distance Learning,Elizabeth   Balko,30
Understanding Evolution,20136,BIO,207,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2017,Distance Learning,Anthony L  Contento,30
Human Genetics,20137,BIO,211,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2017,Distance Learning,Anthony L  Contento,30
Legal&Regulatory Environ ofBus,20010,BLW,355,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2017,Distance Learning,Andrew T.  Wolfe,30
Mass Media and the Law,20138,BRC,319,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2017,Distance Learning,Jason   Zenor,30
"Programs, Programming &Effects",20332,BRC,320,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2017,Distance Learning,David   Crider,30
Chemistry & Public Concern,20139,CHE,209,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2017,Distance Learning,Fehmi   Damkaci,30
PublicRelationsWriting&MassMed,20140,COM,313,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2017,Distance Learning,Lindsay Marie  McCluskey,30
Organizational Communication,20141,COM,365,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2017,Distance Learning,Christine M  Hirsch,30
