Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
T: Play Therapy with trauma,14609,CPS,604,1,Graduate ,3,,9:00 am - 12:00 pm,W,Wilber 311,Spring2021,Lecture,Jodi Ann  Mullen,30
Internship Mental Health Couns,11681,CPS,515,2,Graduate ,3,,9:00 am - 11:50 am,R,"100% web, no face to face ",Spring2021,Internship,Jodi Ann  Mullen,30
Intern:Alcohol/Substance Couns,11682,CPS,516,3,Graduate ,3,,9:00 am - 11:50 am,R,"100% web, no face to face ",Spring2021,Internship,Jodi Ann  Mullen,30
Internship in School Psych,12043,CPS,617,4,Graduate ,3,,9:00 am - 12:00 pm,F,"100% web, no face to face ",Spring2021,Paid Internship,James L  McDougal,30
Internship in School Psych,13908,CPS,617,5,Graduate ,3,,9:00 am - 12:00 pm,F,"100% web, no face to face ",Spring2021,Paid Internship,James L  McDougal,30
Organization Change,12839,EAD,660,6,Graduate ,3,,4:30 pm - 10:00 pm,W,"100% web, no face to face ",Spring2021,Lecture,Linda Rae  Markert,30
DASA Training,11694,DASA,1020,7,"Undergraduate, Non-matric undergraduate, Non-matric graduate, Graduate ",3,,TBA,TBA,"100% web, no face to face ",Spring2021,Lecture,Carlo   Cuccaro,30
Student Teaching Grades 7-12A,13246,ADO,595,1,Graduate ,3,,TBA,TBA,Off Campus ,Spring2021,Student Teaching,Unassigned   Staff,30
Childhood Student Teaching,13248,CED,420,2,Undergraduate ,3,,TBA,TBA,Off Campus ,Spring2021,Student Teaching,Unassigned   Staff,30
CrossCulturalStudentTeaching,13249,CED,421,3,Undergraduate ,3,,TBA,TBA,Off Campus ,Spring2021,Student Teaching,Unassigned   Staff,30
CTE Supervised Student Tchng,14861,CTE,485,4,Undergraduate ,3,,TBA,TBA,Off Campus ,Spring2021,Student Teaching,Benjamin A  Ogwo,30
Voc Super Student Teaching I,14881,CTE,585,5,Graduate ,3,,TBA,TBA,Off Campus ,Spring2021,Student Teaching,Benjamin A  Ogwo,30
Physical Geology,10373,GEO,100,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Spring2021,Lecture,Nicholas J  DiFrancesco,30
Environmental Sustainability,11120,GEO,115,7,Undergraduate ,3,,10:30 am - 11:25 am,MWF,"100% web, no face to face ",Spring2021,Lecture,Justin   Stroup,30
Elementary German,13790,GER,101,1,Undergraduate ,3,,1:00 pm - 1:55 pm,MWF,"100% web, no face to face ",Spring2021,Lecture,Ana   Djukic-Cocks,30
Continuing Elementary German,10384,GER,102,2,Undergraduate ,3,,9:15 am - 10:10 am,MWF,"100% web, no face to face ",Spring2021,Lecture,Ana   Djukic-Cocks,30
GER Conversation Through Film,14722,GER,200,3,Undergraduate ,3,,1:00 pm - 1:55 pm,MWF,"100% web, no face to face ",Spring2021,Recitation or Discussion,Patrick   Schultz,30
