Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Physical Geology,70032,GEO,100,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Winter2019,Lecture,Rachel   Lee,30
Environmental Sustainability,70033,GEO,115,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Winter2019,Lecture,Kevin John  Finerghty,30
Human Biology,70003,BIO,203,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Winter2019,Lecture,Elizabeth   Balko,30
Introduction To Mass Media,70006,BRC,108,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Winter2019,Lecture,Michael J  Riecke,30
Survey of Chemistry,70008,CHE,101,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Winter2019,Lecture,Martha   Bruch,30
Chemistry & Public Concern,70009,CHE,209,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Winter2019,Lecture,Fehmi   Damkaci,30
Strategic Communication in Bus,70011,COM,211,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Winter2019,Seminar,Rose Marie   Crisalli,30
Interpersonal Communication,70089,COM,212,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Winter2019,Lecture,Katherine   Thweatt,30
Crisis Communication,70012,COM,314,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Winter2019,Lecture,Taejin   Jung,30
Study Homicide/Lethal Violence,70014,CRJ,312,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Winter2019,Seminar,Jaclyn   Schildkraut,30
The Death Penalty,70015,CRJ,313,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Winter2019,Lecture,Jaclyn   Schildkraut,30
Report Writing in CRJ,70016,CRJ,351,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Winter2019,Lecture,Donna   Stuccio,30
Intro to Criminal Law,70017,CRJ,365,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Winter2019,Lecture,Jeremy J  Shifton,30
Writing into Culture,70019,CRW,250,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Winter2019,Lecture,Robert T.  O'Connor,30
Tools for Computing,70021,CSC,101,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Winter2019,Lecture,Michael L  Smith,30
WWW & Multimedia in Education,70023,EDU,511,2,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Winter2019,Lecture,Harrison   Yang,30
Princ. Of Lit. Rep.,70025,ENG,150,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Winter2019,Lecture,Tiffany L  Deater,30
Modern Culture & Media,70026,ENG,220,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Winter2019,Lecture,Laura A  Halferty,30
Intro Cinema & Screen Studies,70027,ENG,286,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Winter2019,Lecture,Jacob A  Dodd,30
Corporate Finance,70029,FIN,325,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Winter2019,Lecture,Hong   Wan,30
Internship Mental Health Couns,11681,CPS,515,7,Graduate ,3,,9:00 am - 11:50 am,R,Wilber 311,Winter2019,Internship,Jodi Ann  Mullen,30
Intern:Alcohol/Substance Couns,11682,CPS,516,1,Graduate ,3,,9:00 am - 11:50 am,R,Wilber 311,Winter2019,Internship,Jodi Ann  Mullen,30
Organization Change,13852,EAD,660,2,Graduate ,3,,4:30 pm - 10:00 pm,R,Cambria,Winter2019,Lecture,Scott Brayley  Slater,30
