Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
DASA Training,11696,DASA,1020,1,"Undergraduate, Non-matric undergraduate, Non-matric graduate, Graduate ",3,Class,8:30 am - 3:30 pm,S,Sonata 129,Fall2020,Lecture,Geri   Geitner,30
Physical Geology,91976,GEO,100,2,Undergraduate ,3,Class,TBA,TBA,"100% web, no face to face ",Fall2020,Lecture,Nicholas J  DiFrancesco,30
Physical Geology Laboratory,91033,GEO,101,3,Undergraduate ,3,Class,2:40 pm - 5:35 pm,T,Shineman Center 372,Fall2020,Laboratory,Richard   Frieman,30
Physical Geology Laboratory,91400,GEO,101,4,Undergraduate ,3,Class,9:40 am - 12:35 pm,R,Shineman Center 372,Fall2020,Laboratory,David   Valentino,30
Environmental Sustainability,90998,GEO,115,5,Undergraduate ,3,Class,1:00 pm - 1:55 pm,MWF,"100% web, no face to face ",Fall2020,Lecture,Justin   Stroup,30
Geology of New York State,95115,GEO,308,6,Undergraduate ,3,Class,11:45 am - 12:40 pm,MWF,Shineman Center 150,Fall2020,Lecture,David   Valentino,30
Mineralogy,90416,GEO,310,7,Undergraduate ,3,Class,2:15 pm - 3:10 pm,MWF,Sheldon Hall M00,Fall2020,Lecture,Nicholas J  DiFrancesco,30
Mineralogy Lab,90966,GEO,310,1,Undergraduate ,3,Class,9:40 am - 12:35 pm,R,Shineman Center 370,Fall2020,Laboratory,Nicholas J  DiFrancesco,30
Structural Geology,91977,GEO,330,2,Undergraduate ,3,Class,9:15 am - 10:10 am,MWF,Shineman Center 370,Fall2020,Lecture,David   Valentino,30
Structural Geology Lab,91978,GEO,330,3,Undergraduate ,3,Class,9:40 am - 12:35 pm,T,Shineman Center 370,Fall2020,Laboratory,David   Valentino,30
Stratigraphy,90832,GEO,420,4,Undergraduate ,3,Class,1:00 pm - 1:55 pm,MWF,Marano Campus Center 223,Fall2020,Lecture,Paul Albert  Agle,30
Stratigraphy Lab,90967,GEO,420,5,Undergraduate ,3,Class,2:40 pm - 5:35 pm,R,Shineman Center 370,Fall2020,Laboratory,Paul Albert  Agle,30
Geomorphology,94101,GEO,450,6,Undergraduate ,3,Class,10:30 am - 11:25 am,MWF,Shineman Center 370,Fall2020,Lecture,Justin   Stroup,30
Elementary German,94481,GER,101,7,Undergraduate ,3,Class,2:15 pm - 3:10 pm,MWF,Lanigan Hall 103,Fall2020,Lecture,Patrick   Schultz,30
Elementary German,95087,GER,101,1,Undergraduate ,3,Class,1:00 pm - 1:55 pm,MWF,"100% web, no face to face ",Fall2020,Lecture,Ana   Djukic-Cocks,30
Continuing Elementary German,90294,GER,102,2,Undergraduate ,3,Class,9:15 am - 10:10 am,MWF,"100% web, no face to face ",Fall2020,Lecture,Ana   Djukic-Cocks,30
Intermediate German,90295,GER,201,3,Undergraduate ,3,Class,10:30 am - 11:25 am,MWF,"100% web, no face to face ",Fall2020,Lecture,Ana   Djukic-Cocks,30
Landeskunde,95188,GER,300,4,Undergraduate ,3,Class,2:15 pm - 3:10 pm,MWF,"100% web, no face to face ",Fall2020,Lecture,Ana   Djukic-Cocks,30
Advanced German A,94480,GER,301,5,Undergraduate ,3,Class,2:15 pm - 3:10 pm,MWF,"100% web, no face to face ",Fall2020,Lecture,Ana   Djukic-Cocks,30
Principles of Accounting I,92628,ACC,201,6,Undergraduate ,3,Class,11:45 am - 12:40 pm,MWF,Sheldon Hall M00,Fall2020,Lecture,Frank   Garcia,30
Principles of Accounting I,92631,ACC,201,7,Undergraduate ,3,Class,1:00 pm - 1:55 pm,W,"100% web, no face to face ",Fall2020,Laboratory,Mariama Dioulde  Kante,30
Principles of Accounting I LAB,92635,ACC,201,1,Undergraduate ,3,Class,TBA,TBA,"100% web, no face to face ",Fall2020,Laboratory,Blessed   Sampa,30
Principles of Accounting I LAB,92637,ACC,201,2,Undergraduate ,3,Class,TBA,TBA,"100% web, no face to face ",Fall2020,Laboratory,Blessed   Sampa,30
Principles of Accounting I LAB,92639,ACC,201,3,Undergraduate ,3,Class,8:25 am - 9:20 am,R,"100% web, no face to face ",Fall2020,Laboratory,Nicholas C  Duffy,30
Principles of Accounting I,92634,ACC,201,4,Undergraduate ,3,Class,TBA,TBA,"100% web, no face to face ",Fall2020,Lecture,Victoria   Chiu,30
Principles of Accounting I,92636,ACC,201,5,Undergraduate ,3,Class,TBA,TBA,"100% web, no face to face ",Fall2020,Lecture,Victoria   Chiu,30
Principles of Accounting I,92638,ACC,201,6,Undergraduate ,3,Class,9:40 am - 11:00 am,TR,"100% web, no face to face ",Fall2020,Lecture,Andrea Maria Anastasia  Pagano,30
