Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Systems Programming,11790,CSC,322,4,Undergraduate ,3,,3:55 pm - 5:15 pm,TR,Shineman Center 444,Spring2020,Lecture,Aleksandar V  Pantaleev,30
Latex,13899,CSC,326,5,Undergraduate ,3,,3:55 pm - 5:15 pm,R,Shineman Center 130,Spring2020,Lecture,Elizabeth   Wilcox,30
Programming Languages,10673,CSC,344,6,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Shineman Center 170,Spring2020,Lecture,Daniel Ray  Schlegel,30
Computational Linguistics,14214,CSC,350,7,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Shineman Center 444,Spring2020,Lecture,Daniel Ray  Schlegel,30
Data Structures & Algorithms,11302,CSC,365,1,Undergraduate ,3,,9:35 am - 10:55 am,TR,Shineman Center 444,Spring2020,Lecture,Douglas   Lea,30
Data Structures & Algorithms,13697,CSC,365,2,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Shineman Center 444,Spring2020,Lecture,Ioana   Coman,30
Software Engineering,11096,CSC,380,3,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Marano Campus Center 206,Spring2020,Lecture,Bastian   Tenbergen,30
T:STCS: Teaching Computing,10226,CSC,390,4,Undergraduate ,3,,3:00 pm - 4:20 pm,F,Shineman Center 448,Spring2020,Lecture,James   Patridge,30
Web Services,14212,CSC,435,5,Undergraduate ,3,,9:35 am - 10:55 am,TR,Shineman Center 150,Spring2020,Lecture,Aleksandar V  Pantaleev,30
Software/Safety Require Engine,12833,CSC,436,6,Undergraduate ,3,,8:00 am - 8:55 am,MWF,Shineman Center 444,Spring2020,Seminar,Bastian   Tenbergen,30
Computer Networks,13270,CSC,445,7,Undergraduate ,3,,8:00 am - 9:20 am,TR,Shineman Center 444,Spring2020,Lecture,Douglas   Lea,30
Game Programming,14213,CSC,455,,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Shineman Center 183,Spring2020,Lecture,Aleksandar V  Pantaleev,30
Data Base Mgmt Systems,14210,CSC,459,1,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Shineman Center 183,Spring2020,Lecture,Ioana   Coman,30
Software Design,11098,CSC,480,2,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Shineman Center 185,Spring2020,Lecture,Bastian   Tenbergen,30
