Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Internship Mental Health Couns,91824,CPS,515,1,Graduate ,3,,9:15 am - 12:15 pm,R,Wilber 311,Summer2019,Internship,Jodi Ann  Mullen,30
Intern:Alcohol/Substance Couns,94133,CPS,516,2,Graduate ,3,,9:15 am - 12:15 pm,R,Wilber 311,Summer2019,Internship,Jodi Ann  Mullen,30
Internship: School Counseling,91720,CPS,618,3,Graduate ,3,,12:30 pm - 3:00 pm,F,Wilber 311,Summer2019,Internship,Sean   Finnerty,30
Internship: School Counseling,91748,CPS,618,4,Graduate ,3,,12:30 pm - 3:00 pm,TBA,Wilber 311,Summer2019,Internship,Sean   Finnerty,30
Principles Of Accounting II,20082,ACC,202,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Dean   Crawford,30
West Hert I-Survy Art I,20131,ART,250,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Benjamin R  Entner,30
Seminar in BHI: Bioinformatics,20340,BHI,550,7,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Seminar,Isabelle   Bichindaritz,30
Biomedical/Health Terminology,20123,BHI,552,1,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Joseph A  Miles,30
Human Biology,20138,BIO,203,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Elizabeth   Balko,30
Broadcast Newswriting,20312,BRC,229,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Michael J  Riecke,30
Post Production and Editing,20097,BRC,315,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Marybeth   Longo,30
"Programs, Programming &Effects",20083,BRC,320,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,David   Crider,30
Tching Mathematics Grades 1-6,20140,CED,530,6,Graduate ,3,,4:00 pm - 7:25 pm,TR,Sonata 118,Summer2019,Lecture,Michael Joseph  Difabio,30
Chemistry & Public Concern,20121,CHE,209,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Fehmi   Damkaci,30
PublicRelationsWriting&MassMed,20103,COM,313,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Lindsay Marie  McCluskey,30
Survey of Health Communication,20308,COM,316,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Taejin   Jung,30
Persuasion,20089,COM,360,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Christine M  Hirsch,30
Organizational Communication,20090,COM,365,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Christine M  Hirsch,30
"Race, Gender & Class Issues",20360,CPS,502,5,Graduate ,3,,9:00 am - 12:25 pm,MW,Sonata 118,Summer2019,Lecture,Sarah F  Spiegelhoff,30
Ed Handicap&Learn Disabilities,20323,CPS,507,6,Graduate ,3,,1:00 pm - 4:25 pm,TR,Wilber B5,Summer2019,Lecture,John M.  Garruto,30
Advanced Clinical Assessment,20324,CPS,569,7,Graduate ,3,,4:00 pm - 8:00 pm,M,Sonata 104,Summer2019,Lecture,Daniel   McManus,30
Voc Dev & Decision-Making,20358,CPS,574,1,Graduate ,3,,1:00 pm - 4:25 pm,TR,Wilber 203,Summer2019,Lecture,Maggie L  Fitzsimmons,30
Intro to Courts & Judic Procs,20155,CRJ,220,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Margaret A  Schmuhl,30
Women and Crime,20157,CRJ,367,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Margaret A  Schmuhl,30
BUS Info System&Computing Tool,20159,CSC,102,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Michael L  Smith,30
School Law,20346,EAD,622,5,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Josephine Ferazzoli  Farrell,30
Foundatn of Educationl Inquiry,20162,EDU,501,6,Graduate ,3,,8:30 am - 11:55 am,MF,Sonata 106,Summer2019,Lecture,Patricia E  Russo,30
Web 2.0 Tools for Educators,20243,EDU,515,7,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Harrison   Yang,30
Cont Pro Develop thro Research,20169,EDU,516,1,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Dolores   Grayson,30
Composition II,20371,ENG,102,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Katherine B  Stout,30
Corporate Finance,20114,FIN,325,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Eric   Tsai,30
Corporate Finance,20332,FIN,325,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Hong   Wan,30
Derivatives and Credit Risk,20101,FIN,425,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,John A  MacDonald,30
Multi-National Financial Mgt,20116,FIN,426,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Hong   Wan,30
Continuing Elementary French,20262,FRE,102,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Lenuta   Giukin,30
Curriculum Administration,20363,EAD,652,1,Graduate ,3,,1:30 pm - 9:00 pm,TWRF,Off Campus ,Summer2019,Lecture,Angela   Perrotto,30
Cognitive Behavior Therapy,20498,CPS,514,2,Graduate ,3,,12:00 pm - 4:25 pm,TWR,Wilber 115,Summer2019,Lecture,Gregory W  Smith,30
Curriculum Administration,20364,EAD,652,3,Graduate ,3,,1:30 pm - 9:00 pm,TWRF,Off Campus ,Summer2019,Lecture,Angela   Perrotto,30
Survey of Chemistry,20119,CHE,101,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Martha   Bruch,30
Interpersonal Communication,20112,COM,212,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Katherine   Thweatt,30
Applied Communication Theory,20435,COM,501,6,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Katherine   Thweatt,30
Study Homicide/Lethal Violence,20011,CRJ,312,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Seminar,Jaclyn   Schildkraut,30
Crime and the Media,20012,CRJ,330,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Jaclyn   Schildkraut,30
Writing into Culture,20281,CRW,250,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Robert T.  O'Connor,30
School Personnel Management,20354,EAD,621,3,Graduate ,3,,5:30 pm - 7:30 pm,T,Seneca Falls School District ,Summer2019,Lecture,Michael   DeMott,30
DASA Training,20029,DASA,1020,4,"Undergraduate, Non-matric undergraduate, Non-matric graduate, Graduate ",3,,8:30 am - 3:30 pm,S,Marano Campus Center 211,Summer2019,Lecture,Carlo   Cuccaro,30
Environmental Sustainability,20259,GEO,115,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Kevin John  Finerghty,30
Watercolor Painting I,20129,ART,220,6,Undergraduate ,3,,9:00 am - 2:00 pm,MTWRF,Tyler Hall 209,Summer2019,Studio,Christopher   McEvoy,30
"Two Dimensional,Experi.Studio",20130,ART,396,7,Undergraduate ,3,,9:00 am - 2:00 pm,MTWRF,Tyler Hall 209,Summer2019,Studio,Christopher   McEvoy,30
Critical Thinking/Public Speak,20109,COM,210,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Jessica K  Reeher,30
Survey Of Public Relations,20093,COM,215,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Taejin   Jung,30
Int to Strategic Communication,20316,COM,500,3,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Katherine   Thweatt,30
Organized Crime,20010,CRJ,366,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Jaclyn   Schildkraut,30
Fiction Writing: Introductory,20279,CRW,206,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Seminar,Robert T.  O'Connor,30
Modern Culture & Media,20266,ENG,220,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Laura A  Halferty,30
Educational Assessment,20164,EDU,510,7,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Jean E  Hallagan,30
School Personnel Management,20378,EAD,621,1,Graduate ,3,,4:30 pm - 7:30 pm,W,Central Square Intermediate ,Summer2019,Lecture,Rebecca M.  Streib,30
Graduate Internship in BHI,20135,BHI,698,2,Graduate ,3,,TBA,TBA,Off Campus ,Summer2019,Internship,Isabelle   Bichindaritz,30
Project in BHI,20136,BHI,699,3,Graduate ,3,,TBA,TBA,Off Campus ,Summer2019,Activity,Isabelle   Bichindaritz,30
Foundations Of Communication,20249,COM,100,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Denise   Casey,30
Public Relations Research,20142,COM,317,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Joseph Earl  Stabb,30
Internship Mental Health Couns,20148,CPS,515,6,Graduate ,3,,4:25 pm - 8:05 pm,W,Wilber 220,Summer2019,Internship,Sam P  Silvaine,30
Internship Mental Health Couns,20149,CPS,515,7,Graduate ,3,,4:00 pm - 7:40 pm,M,Wilber 203,Summer2019,Internship,Jessie Thankfull  Darkis,30
Physical Geology,20271,GEO,100,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Rachel   Lee,30
Principles of Accounting I,20081,ACC,201,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Dean   Crawford,30
Cultural Anthropology,20272,ANT,112,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Jing   Lei,30
American Sign Language I,20295,ASL,101,4,Undergraduate ,3,,5:30 pm - 8:55 pm,T,Marano Campus Center 256,Summer2019,Lecture,Laura   Latray-Corey,30
SemBHI:MedicalSolutionw/Python,20339,BHI,550,5,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Seminar,Isabelle   Bichindaritz,30
Information Assurance,20351,BHI,554,6,Graduate ,3,,9:00 am - 12:40 pm,TR,Shineman Center 444,Summer2019,Lecture,Bastian   Tenbergen,30
