Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Physical Geology,70046,GEO,100,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2017 - Jan 20, 2017",Distance Learning,Rachel   Lee,30
Environmental Sustainability,70024,GEO,115,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2017 - Jan 20, 2017",Distance Learning,Kevin John  Finerghty,30
Human Biology,70012,BIO,203,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2017 - Jan 20, 2017",Distance Learning,Elizabeth   Balko,30
Introduction To Mass Media,70050,BRC,108,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2017 - Jan 20, 2017",Distance Learning,Brian   Moritz,30
Media Economics,70062,BRC,301,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2017 - Jan 20, 2017",Distance Learning,Jason   Zenor,30
Survey of Chemistry,70004,CHE,101,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2017 - Jan 20, 2017",Distance Learning,Martha   Bruch,30
Chemistry & Public Concern,70014,CHE,209,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2017 - Jan 20, 2017",Distance Learning,Fehmi   Damkaci,30
Message Criticism,70028,COM,302,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2017 - Jan 20, 2017",Distance Learning,Steven M  Granelli,30
Writing into Culture,70054,CRW,250,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2017 - Jan 20, 2017",Distance Learning,Robert T.  O'Connor,30
Digital Storytelling,70043,CRW,313,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2017 - Jan 20, 2017",Distance Learning,Krista H  Knight,30
Tools for Computing,70063,CSC,101,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2017 - Jan 20, 2017",Distance Learning,Michael L  Smith,30
Elected Field Experience,70112,EDU,300,5,Undergraduate ,3,,TBA,TBA,Off Campus ,"Jan 02, 2017 - Jan 20, 2017",Activity,Michael Joseph  Difabio,30
WWW & Multimedia in Education,70065,EDU,511,6,Graduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2017 - Jan 20, 2017",Distance Learning,Harrison   Yang,30
Educ of Diverse Populations,70000,EDU,514,7,Graduate ,3,,4:30 pm - 9:00 pm,TRF,Sheldon Hall 336,"Jan 02, 2017 - Jan 20, 2017",Lecture,Bonita   Hampton,30
Modern Culture & Media,70031,ENG,220,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2017 - Jan 20, 2017",Distance Learning,Laura A  Halferty,30
Corporate Finance,70066,FIN,325,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2017 - Jan 20, 2017",Distance Learning,Eric   Tsai,30
Organization Change,12840,EAD,660,3,Graduate ,3,,4:30 pm - 10:00 pm,R,Cambria ,"Jan 26, 2017 - Feb 02, 2017",Lecture,Scott Brayley  Slater,30
Internship Mental Health Couns,11681,CPS,515,4,Graduate ,3,,9:00 am - 12:00 pm,R,Mahar Hall 314,"Jan 26, 2017 - Jan 26, 2017",Internship,Jodi Ann  Mullen,30
Intern:Alcohol/Substance Couns,11682,CPS,516,5,Graduate ,3,,9:00 am - 12:00 pm,R,Mahar Hall 314,"Jan 26, 2017 - Jan 26, 2017",Internship,Jodi Ann  Mullen,30
T:PlayTherapySpecialPopulation,11286,CPS,604,6,Graduate ,3,,9:30 am - 3:30 pm,S,Mahar Hall 204,"Jan 28, 2017 - Jan 28, 2017",Lecture,Tamara   Sullivan,30
