Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Internship in School Psych,12043,CPS,617,1,Graduate ,3,,9:00 am - 12:00 pm,F,Mahar Hall 314,Spring2018,Paid Internship,James L  McDougal,30
DASA Training,11694,DASA,1020,2,"Undergraduate, Non-matric undergraduate, Non-matric graduate, Graduate ",3,,8:30 am - 3:30 pm,S,Sonata 129,Spring2018,Lecture,Geri   Geitner,30
School Principalship,10796,EAD,610,3,Graduate ,3,,4:30 pm - 10:00 pm,M,Palmyra-Macedon CSD ,Spring2018,Lecture,Angela   Perrotto,30
School Principalship,10587,EAD,610,4,Graduate ,3,,4:30 pm - 9:45 pm,M,Sonata 129,Spring2018,Lecture,Jeffrey S.  Craig,30
Freshmen Colloquium,11323,ART,111,5,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Hewitt Union 1A,Spring2018,Studio,Richard   Metzgar,30
Transfer Student Colloquim,11196,ART,311,6,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Tyler Hall 228,Spring2018,Studio,Elizabeth Nichole  Hunt,30
Strat Instr in the Disciplines,11735,EDU,104,7,Undergraduate ,3,,1:50 pm - 2:45 pm,MW,Marano Campus Center 164,Spring2018,Lecture,Allison R  Peer,30
Strat Instr in the Disciplines,12203,EDU,104,1,Undergraduate ,3,,12:45 pm - 1:40 pm,TR,Marano Campus Center 164,Spring2018,Lecture,Allison R  Peer,30
Strat Instr in the Disciplines,12289,EDU,104,2,Undergraduate ,3,,11:30 am - 12:25 pm,MW,Marano Campus Center 164,Spring2018,Lecture,Alicia R  King,30
Strat Instr in the Disciplines,12292,EDU,104,3,Undergraduate ,3,,11:10 am - 12:05 pm,TR,Marano Campus Center 164,Spring2018,Lecture,Alicia R  King,30
Sem:Global Cities: Paris,13313,FRE,395,4,Undergraduate ,3,,4:30 pm - 5:50 pm,M,Marano Campus Center 242,Spring2018,Lecture,Susan   Bertonneau,30
Student Teaching,13244,ADO,420,5,Undergraduate ,3,,TBA,TBA,Off Campus ,Spring2018,Student Teaching,Unassigned   Staff,30
Student Teaching Grades 7-12A,13246,ADO,595,6,Graduate ,3,,TBA,TBA,Off Campus ,Spring2018,Student Teaching,Unassigned   Staff,30
Childhood Student Teaching,13248,CED,420,7,Undergraduate ,3,,TBA,TBA,Off Campus ,Spring2018,Student Teaching,Unassigned   Staff,30
Intro. to Geography,10277,GEG,100,1,Undergraduate ,3,,6:00 pm - 8:40 pm,R,Mahar Hall 201,Spring2018,Lecture,Amy   D'Angelo,30
Physical Geology,10373,GEO,100,2,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Shineman Center 175,Spring2018,Lecture,Paul B  Tomascak,30
Physical Geology Laboratory,13291,GEO,101,3,Undergraduate ,3,,9:35 am - 12:30 pm,T,Shineman Center 372,Spring2018,Laboratory,Rachel   Lee,30
Physical Geology Laboratory,11124,GEO,101,4,Undergraduate ,3,,2:20 pm - 5:15 pm,T,Shineman Center 372,Spring2018,Laboratory,Rachel   Lee,30
Environmental Sustainability,11120,GEO,115,5,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Lanigan Hall 102,Spring2018,Lecture,Justin   Stroup,30
Historical Geology,10809,GEO,200,6,Undergraduate ,3,,3:00 pm - 3:55 pm,MWF,Shineman Center 174,Spring2018,Lecture,Brian   Hough,30
Historical Geology Lab,10850,GEO,201,7,Undergraduate ,3,,9:35 am - 12:30 pm,R,Shineman Center 370,Spring2018,Laboratory,Brian   Hough,30
Historical Geology Lab,12969,GEO,201,1,Undergraduate ,3,,2:20 pm - 5:15 pm,R,Shineman Center 370,Spring2018,Laboratory,Richard   Frieman,30
Earth Resources,11397,GEO,305,2,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Shineman Center 172,Spring2018,Lecture,Rachel   Lee,30
Geology of New York State,13417,GEO,308,3,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Shineman Center 370,Spring2018,Lecture,David   Valentino,30
