Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Physical Geology,70066,GEO,100,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2018 - Jan 19, 2018",Lecture,Rachel   Lee,30
Environmental Sustainability,70067,GEO,115,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2018 - Jan 19, 2018",Lecture,Kevin John  Finerghty,30
Human Biology,70001,BIO,203,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2018 - Jan 19, 2018",Lecture,Elizabeth   Balko,30
Human Genetics,70002,BIO,211,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2018 - Jan 19, 2018",Lecture,Anthony L  Contento,30
Introduction To Mass Media,70007,BRC,108,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2018 - Jan 19, 2018",Lecture,Michael J  Riecke,30
Survey of Chemistry,70004,CHE,101,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2018 - Jan 19, 2018",Lecture,Martha   Bruch,30
Chemistry & Public Concern,70005,CHE,209,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2018 - Jan 19, 2018",Lecture,Fehmi   Damkaci,30
Critical Thinking/Public Speak,70009,COM,210,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2018 - Jan 19, 2018",Lecture,Jessica K  Reeher,30
Message Criticism,70010,COM,302,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2018 - Jan 19, 2018",Lecture,Steven M  Granelli,30
Crisis Communication,70011,COM,314,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2018 - Jan 19, 2018",Lecture,Taejin   Jung,30
Writing into Culture,70017,CRW,250,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2018 - Jan 19, 2018",Lecture,Robert T.  O'Connor,30
Tools for Computing,70014,CSC,101,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2018 - Jan 19, 2018",Lecture,Michael L  Smith,30
WWW & Multimedia in Education,70016,EDU,511,6,Graduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2018 - Jan 19, 2018",Lecture,Harrison   Yang,30
Princ. Of Lit. Rep.,70020,ENG,150,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2018 - Jan 19, 2018",Lecture,Tiffany L  Deater,30
SS:NativeNAmerica:Land/Culture,70021,ENG,195,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2018 - Jan 19, 2018",Lecture,Jarrod   Hagadorn,30
Modern Culture & Media,70022,ENG,220,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2018 - Jan 19, 2018",Lecture,Laura A  Halferty,30
Corporate Finance,70064,FIN,325,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2018 - Jan 19, 2018",Lecture,Eric   Tsai,30
Corporate Finance,70083,FIN,325,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ","Jan 02, 2018 - Jan 19, 2018",Lecture,Hong   Wan,30
Internship Mental Health Couns,11681,CPS,515,5,Graduate ,3,,9:00 am - 11:50 am,R,Mahar Hall 314,"Jan 25, 2018 - Jan 25, 2018",Internship,Jodi Ann  Mullen,30
Intern:Alcohol/Substance Couns,11682,CPS,516,6,Graduate ,3,,9:00 am - 11:50 am,R,Mahar Hall 314,"Jan 25, 2018 - Jan 25, 2018",Internship,Jodi Ann  Mullen,30
Organization Change,12839,EAD,660,7,Graduate ,3,,4:30 pm - 10:00 pm,R,Off Campus ,"Jan 25, 2018 - Jan 25, 2018",Lecture,Danielle M  Dehm,30
Organization Change,12840,EAD,660,1,Graduate ,3,,4:30 pm - 10:00 pm,R,Jefferson Higher Education Ctr ,"Jan 25, 2018 - Jan 25, 2018",Lecture,Scott Brayley  Slater,30
