Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Intern:Alcohol/Substance Couns,19027,CPS,516,1,Graduate ,3,,3:00 pm - 6:00 pm,R,Mahar Hall 114,"Jan 25, 2016 - Jan 28, 2016",Internship,Rikki Lynne  Ziegen,30
A Global City:London,19770,GLS,100,2,Undergraduate ,3,,4:30 pm - 5:30 pm,W,Penfield Library 123,"Jan 27, 2016 - Jan 27, 2016",Lecture,Thomas J.  Larson,30
Internship Mental Health Couns,18940,CPS,515,3,Graduate ,3,,3:00 pm - 6:00 pm,R,Mahar Hall 114,"Jan 28, 2016 - Jan 28, 2016",Internship,Rikki Lynne  Ziegen,30
Internship Mental Health Couns,19174,CPS,515,4,Graduate ,3,,3:00 pm - 6:00 pm,R,Mahar Hall 114,"Jan 28, 2016 - Jan 28, 2016",Internship,Rikki Lynne  Ziegen,30
Internship: School Counseling,18922,CPS,618,5,Graduate ,3,,5:30 pm - 8:30 pm,R,Mahar Hall 118,"Jan 28, 2016 - Jan 28, 2016",Internship,Sean   Finnerty,30
Internship: School Counseling,17929,CPS,618,6,Graduate ,3,,5:30 pm - 8:30 pm,R,Mahar Hall 118,"Jan 28, 2016 - Jan 28, 2016",Internship,Sean   Finnerty,30
