Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Organization Change,19957,EAD,660,1,Graduate ,3,,4:30 pm - 10:00 pm,M,Palmyra-Macedon CSD ,Spring2016,Lecture,Danielle M  Dehm,30
Organization Change,19958,EAD,660,2,Graduate ,3,,4:30 pm - 10:00 pm,M,Jefferson Community College ,Spring2016,Lecture,Mary Beth   Denny,30
Internship Mental Health Couns,19025,CPS,515,3,Graduate ,3,,9:45 am - 12:45 pm,R,Mahar Hall 112,Spring2016,Internship,Jodi Ann  Mullen,30
Intern:Alcohol/Substance Couns,19026,CPS,516,4,Graduate ,3,,9:45 am - 12:45 pm,R,Mahar Hall 112,Spring2016,Internship,Jodi Ann  Mullen,30
Internship in School Psych,20007,CPS,617,5,Graduate ,3,,9:00 am - 12:00 pm,F,Mahar Hall 117,Spring2016,Internship,James L  McDougal,30
DASA Training,19052,DASA,1020,6,"Undergraduate, Non-matric undergraduate, Non-matric graduate, Graduate ",3,,8:30 am - 3:30 pm,S,Marano Campus Center 211,Spring2016,Lecture,Geri   Geitner,30
Organization Change,19956,EAD,660,7,Graduate ,3,,4:30 pm - 9:45 pm,W,Sonata 129,Spring2016,Lecture,Linda Rae  Markert,30
Student Teaching,16595,ADO,420,1,Undergraduate ,3,,TBA,TBA,Off Campus ,Spring2016,Student Teaching,TBA,30
Student Teaching Grades 7-12A,16996,ADO,595,2,Graduate ,3,,TBA,TBA,Off Campus ,Spring2016,Student Teaching,TBA,30
Childhood Student Teaching,16588,CED,420,3,Undergraduate ,3,,TBA,TBA,Off Campus ,Spring2016,Student Teaching,TBA,30
Childhood Student Teaching,20586,CED,420,4,Undergraduate ,3,,TBA,TBA,TBA,Spring2016,Student Teaching,Ronald   Cocciole,30
Global Cities: Ireland/Dublin,16891,GLS,100,5,Undergraduate ,3,,5:30 pm - 6:30 pm,W,Shineman Center 194,Spring2016,Lecture,Jeffery A.  Schneider,30
A Global City: Paris,17985,GLS,100,6,Undergraduate ,3,,3:00 pm - 4:20 pm,MW,Shineman Center 185,Spring2016,Lecture,Allen   Stagl,30
Global Cities: Rome,16974,GLS,100,7,Undergraduate ,3,,3:00 pm - 4:30 pm,M,Marano Campus Center 211,Spring2016,Lecture,Joseph   Alessia,30
Freshmen Colloquium,17802,ART,111,1,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Hewitt Union 228B,Spring2016,Studio,Benjamin R  Entner,30
Transfer Student Colloquim,17004,ART,311,2,Undergraduate ,3,,12:40 pm - 1:35 pm,MW,Hewitt Union 1A,Spring2016,Studio,Kelly L  Roe,30
Integ  Lang Arts/SocSt Methods,19925,CED,542,3,Graduate ,3,,9:00 am - 1:30 pm,RF,Sonata 107,Spring2016,Lecture,Doreen L  Mazzye,30
Field Experience A:Plan/Teach,19924,CED,543,4,Graduate ,3,,8:00 am - 4:00 pm,MTW,Sonata 107,Spring2016,Tutorial,Doreen L  Mazzye,30
"SS:Great Britain, Great Screen",19885,CRW,395,5,Undergraduate ,3,,1:00 pm - 2:20 pm,S,Marano Campus Center 232,Spring2016,Lecture,Juliet A  Giglio,30
Solid Earth Geochemistry,19771,GCH,436,6,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Shineman Center 201,Spring2016,Lecture,Casey C  Raymond,30
Intro. to Geography,10814,GEG,100,7,Undergraduate ,3,,6:00 pm - 8:40 pm,R,Mahar Hall 201,Spring2016,Lecture,Amy   D'Angelo,30
Physical Geology,11127,GEO,100,1,Undergraduate ,3,,8:00 am - 8:55 am,MWF,Shineman Center 170,Spring2016,Lecture,Nandini   Kar,30
Physical Geology Laboratory,14727,GEO,101,2,Undergraduate ,3,,2:20 pm - 5:15 pm,T,Shineman Center 372,Spring2016,Laboratory,Rachel   Lee,30
