Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Internship in School Psych,12043,CPS,617,1,Graduate ,3,,9:00 am - 12:00 pm,F,Wilber 311,Spring2019,Paid Internship,James L  McDougal,30
Internship in School Psych,13908,CPS,617,2,Graduate ,3,,9:00 am - 12:00 pm,F,Wilber 311,Spring2019,Paid Internship,James L  McDougal,30
T:ADHD/Autism/AnxietySensoryPr,13877,CPS,604,3,Graduate ,3,,9:30 am - 3:30 pm,S,Wilber 311,Spring2019,Lecture,Tamara   Sullivan,30
Internship: School Counseling,11628,CPS,618,4,Graduate ,3,,9:00 am - 3:00 pm,F,Wilber 311,Spring2019,Internship,Sean   Finnerty,30
Internship: School Counseling,11368,CPS,618,5,Graduate ,3,,9:00 am - 3:00 pm,F,Wilber 311,Spring2019,Internship,Sean   Finnerty,30
Internship: School Counseling,12719,CPS,618,6,Graduate ,3,,9:00 am - 3:00 pm,F,Wilber 311,Spring2019,Seminar,Sean   Finnerty,30
Internship: School Counseling,13437,CPS,618,7,Graduate ,3,,9:00 am - 3:00 pm,F,Wilber 311,Spring2019,Internship,Sean   Finnerty,30
DASA Training,11694,DASA,1020,1,"Undergraduate, Non-matric undergraduate, Non-matric graduate, Graduate ",3,,8:30 am - 3:30 pm,S,Sonata,Spring2019,Lecture,Carlo   Cuccaro,30
TTMM: Photography,60252,ART,102,2,Undergraduate ,3,,TBA,TBA,TBA,Spring2019,Studio,Katie   Herrmann,30
TTMM: Ceramics,60253,ART,102,3,Undergraduate ,3,,TBA,TBA,TBA,Spring2019,Studio,Leslie Z.  Nicoletti,30
Poetry Writing: Intro,60134,CRW,205,4,Undergraduate ,3,,TBA,TBA,TBA,Spring2019,Seminar,William J  Neumire,30
Fiction Writing: Introductory,60258,CRW,206,5,Undergraduate ,3,,TBA,TBA,TBA,Spring2019,Seminar,William J  Neumire,30
Princ. Of Lit. Rep.,60097,ENG,150,6,Undergraduate ,3,,TBA,TBA,TBA,Spring2019,Lecture,Emily   Kirch,30
School Principalship,10796,EAD,610,7,Graduate ,3,,4:30 pm - 10:00 pm,M,Palmyra-Macedon CSD ,Spring2019,Lecture,Angela   Perrotto,30
